epoch,train_loss,macro_f1,weighted_f1,accuracy,confusion,thresholds,auroc_immune_cold,auprc_immune_cold,f1_immune_cold,auroc_immune_hot,auprc_immune_hot,f1_immune_hot,auroc_normal,auprc_normal,f1_normal,auroc_necrotic,auprc_necrotic,f1_necrotic,mes_auroc,mes_auprc,mes_pearson
1,35.60668611526489,0.30999019691888374,0.43158647701411934,0.3812332039414751,"[[3466, 18, 5033, 121], [4, 0, 4, 7], [2019, 0, 696, 0], [362, 14, 707, 945]]","[0.05000000074505806, 0.3499999940395355, 0.05000000074505806, 0.15000000596046448]",0.4530544260231802,0.5676627565058651,0.4784319138656912,0.803871160600852,0.0033326944893245203,0.0,0.3349261170633453,0.15916081066427643,0.15204806116876024,0.8816227980684216,0.732878540878034,0.6094808126410836,0.8063133215182396,0.4447109137511456,0.4087233594991389
2,31.068606853485107,0.47935362402133497,0.7491717690616585,0.783517467900866,"[[7724, 27, 859, 28], [6, 0, 0, 9], [246, 0, 2469, 0], [1664, 55, 6, 303]]","[0.05000000074505806, 0.4749999940395355, 0.949999988079071, 0.22499999403953552]",0.8124053701344665,0.863294060703317,0.8451690556953715,0.8467130010213487,0.008057103928984342,0.0,0.9745062530787789,0.9075549810773191,0.8163332782278062,0.8745177690031327,0.6725531249006569,0.25591216216216217,0.850340449739357,0.5049654107825727,0.4776245881949954
3,28.09438854455948,0.5535117519722383,0.8036037913207275,0.8133771275007465,"[[8062, 74, 382, 120], [6, 0, 0, 9], [730, 0, 1985, 0], [1137, 41, 1, 849]]","[0.15000000596046448, 0.3499999940395355, 0.675000011920929, 0.15000000596046448]",0.8011125605979075,0.8582574210711136,0.8681419264523771,0.7781929601674016,0.01106480565614825,0.0,0.9700227749900296,0.8910012394323512,0.7810348219555381,0.8986305116823305,0.7253378646620177,0.564870259481038,0.867174537925904,0.5364972913364978,0.5087790060783387
4,27.268272757530212,0.5107609069205713,0.7741788958648589,0.7994177366378024,"[[7949, 27, 606, 56], [6, 0, 0, 9], [431, 0, 2283, 1], [1516, 33, 2, 477]]","[0.22499999403953552, 0.42500001192092896, 0.625, 0.10000000149011612]",0.7835548245185038,0.8423977670934284,0.8574973031283711,0.7945793787210721,0.022293531480534506,0.0,0.9723974328005032,0.8942212056794395,0.8144844809133072,0.8272336046232409,0.6215255976115164,0.3710618436406068,0.8024479807676529,0.4784457834918013,0.43490269964504197
5,25.132197737693787,0.5601605867106884,0.8113026604874264,0.8185279187817259,"[[7951, 117, 450, 120], [6, 0, 0, 9], [519, 0, 2196, 0], [1130, 79, 1, 818]]","[0.15000000596046448, 0.42500001192092896, 0.800000011920929, 0.17499999701976776]",0.8396238562298556,0.8840394435871787,0.8716290287217715,0.7908228084597564,0.010603768905134436,0.0,0.9734497825177253,0.905569340430245,0.8190973517344274,0.8862642524363347,0.7004792277248215,0.5499159663865546,0.8493666207190799,0.50397374112755,0.4788471132210205
6,22.720879673957825,0.5396551706876909,0.8017273278559637,0.8240519558077037,"[[8132, 14, 442, 50], [8, 0, 0, 7], [390, 0, 2325, 0], [1432, 11, 3, 582]]","[0.4000000059604645, 0.07500000298023224, 0.574999988079071, 0.05000000074505806]",0.8176429875090767,0.8747155253610772,0.8744086021505376,0.8354682011807788,0.019497529494607282,0.0,0.9768720657307352,0.9083716101163534,0.8477666362807658,0.8887497970010285,0.7236984791148976,0.4364454443194601,0.7432979017268635,0.40734731842939964,0.3464192200887684
7,22.22399115562439,0.41001052670613847,0.7013408243420305,0.7641833383099432,"[[7960, 2, 676, 0], [15, 0, 0, 0], [442, 0, 2273, 0], [2013, 1, 10, 4]]","[0.05000000074505806, 0.17499999701976776, 0.925000011920929, 0.05000000074505806]",0.7610261646316592,0.8376527341701889,0.8349066498846235,0.7244600553022943,0.002617327574709232,0.0,0.9676022706366773,0.8734159201942873,0.8011984490659148,0.9009508159517632,0.7468977551221258,0.003937007874015748,0.8002157485354208,0.41918054400973725,0.3711872815954074
8,23.709105372428894,0.42181243566612525,0.6509992996191144,0.6638548820543446,"[[7124, 15, 1392, 107], [6, 0, 0, 9], [1762, 0, 953, 0], [1146, 16, 50, 816]]","[0.32499998807907104, 0.22499999403953552, 0.375, 0.07500000298023224]",0.6175495145889971,0.7554595039184766,0.7629042621546369,0.8530652915825923,0.01895906337376689,0.0,0.7098107463675797,0.4760243890777321,0.3729941291585127,0.8826498730996173,0.6962636857540552,0.5513513513513514,0.81330411012105,0.4304813781532266,0.39936866762297807
9,22.64052242040634,0.4682275278232086,0.7493683892830928,0.7956106300388176,"[[8207, 0, 421, 10], [11, 0, 0, 4], [467, 0, 2248, 0], [1823, 0, 2, 203]]","[0.10000000149011612, 0.10000000149011612, 0.8500000238418579, 0.10000000149011612]",0.8353993143096949,0.8904952878049046,0.8573070092969811,0.8085793288991854,0.007407946552860017,0.0,0.9751059306874067,0.9029016518242492,0.8347567768288154,0.8949571411915104,0.7006272034000713,0.18084632516703786,0.7741475491885328,0.4158060185123162,0.363333720393407
10,20.323006987571716,0.4951571706576643,0.7645593183656785,0.7949387876978202,"[[8100, 79, 444, 15], [10, 0, 0, 5], [539, 0, 2176, 0], [1615, 38, 2, 373]]","[0.32499998807907104, 0.05000000074505806, 0.574999988079071, 0.05000000074505806]",0.846383203594857,0.8948546368773426,0.8570521637921913,0.7391475475176246,0.008119985258471806,0.0,0.9700934500480449,0.8963528756625238,0.815439385422522,0.8993284290863867,0.7200777206474291,0.30813713341594384,0.7399354272305092,0.41296317705530156,0.34045876842774264
11,19.3171426653862,0.5688385782653925,0.8148368356176775,0.8261421319796954,"[[8129, 53, 319, 137], [6, 1, 1, 7], [625, 0, 2089, 1], [1149, 10, 21, 848]]","[0.3499999940395355, 0.25, 0.5249999761581421, 0.07500000298023224]",0.8233832496293638,0.873019318865583,0.8765838140939235,0.7479710036619087,0.005657540975030832,0.02531645569620253,0.9683490054714115,0.8988022270842078,0.8120505344995141,0.8909604037493389,0.6913223057671013,0.5614035087719298,0.798805581537822,0.4574964022750926,0.41156252948514543
